date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:29:55	42854/42854	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202020%2015:37:27%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/js/owl.carousel.min.js	duruthemes.com/demo/html/gorman/light-onepage/js/owl.carousel.min.js	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:29:57	172140/172140	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2010:37:58%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/blog/6.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/blog/6.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
06:30:00	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.eot	duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css)
06:30:03	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.eot?	duruthemes.com/demo/html/gorman/light-onepage/fonts/et-lined41d.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css)
06:30:05	32536/32536	---M--	200	added ('OK')	font/ttf	date:Wed,%2013%20Feb%202019%2021:25:36%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.ttf	duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.ttf	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css)
06:30:07	55220/55220	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.woff	duruthemes.com/demo/html/gorman/light-onepage/fonts/et-line.woff	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/et-lineicons.css)
06:30:17	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Feb%202019%2021:25:39%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.woff	duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.woff	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css)
06:30:17	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.eot	duruthemes.com/demo/html/gorman/light-onepage/fonts/themify.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/themify-icons.css)
06:30:25	433246/433246	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2029%20Apr%202020%2014:11:53%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.svg	duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.svg	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:30:28	5103/5103	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Feb%202019%2021:25:47%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/loader.gif	duruthemes.com/demo/html/gorman/light-onepage/images/loader.gif	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:30:42	163302/163302	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2029%20Apr%202020%2014:11:19%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.eot	duruthemes.com/demo/html/gorman/light-onepage/css/fonts/TuesdayNight-Regular.eot	(from http://duruthemes.com/demo/html/gorman/light-onepage/css/style.css)
06:30:42	71198/71198	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2022:55:24%20GMT	http://duruthemes.com/demo/html/gorman/light-onepage/images/slider.jpg	duruthemes.com/demo/html/gorman/light-onepage/images/slider.jpg	(from http://duruthemes.com/demo/html/gorman/light-onepage/index.html)
